scenario,year,group,n_children_weighted,median_nominal_sub,mean_nominal_sub,median_real2026_sub,mean_real2026_sub,median_nominal_subcdctc,mean_nominal_subcdctc,median_real2026_subcdctc,mean_real2026_subcdctc
arpa_cdctc,2026,all_paid_formal,4103145.0,9011.0,10798.0,9011.0,10798.0,6426.0,8699.0,6426.0,8699.0
arpa_cdctc,2026,Low-Priced Center-Based,1794268.0,7772.0,7082.0,7772.0,7082.0,4786.0,4995.0,4786.0,4995.0
arpa_cdctc,2026,High-Priced Center-Based,1286588.0,15222.0,15724.0,15222.0,15724.0,12528.0,13869.0,12528.0,13869.0
arpa_cdctc,2026,Paid Home-Based,1022289.0,9198.0,11121.0,9198.0,11121.0,7323.0,8696.0,7323.0,8696.0
arpa_cdctc,2027,all_paid_formal,4035570.0,9288.0,11119.0,9057.0,10843.0,6697.0,8994.0,6531.0,8770.0
arpa_cdctc,2027,Low-Priced Center-Based,1743233.0,7895.0,7272.0,7699.0,7092.0,5013.0,5180.0,4889.0,5051.0
arpa_cdctc,2027,High-Priced Center-Based,1256284.0,15674.0,16150.0,15284.0,15749.0,12993.0,14285.0,12670.0,13930.0
arpa_cdctc,2027,Paid Home-Based,1036053.0,9480.0,11491.0,9244.0,11206.0,7669.0,8994.0,7479.0,8771.0
arpa_cdctc,2028,all_paid_formal,4021169.0,9570.0,11434.0,9117.0,10893.0,6992.0,9291.0,6661.0,8851.0
arpa_cdctc,2028,Low-Priced Center-Based,1758664.0,8135.0,7508.0,7750.0,7153.0,5153.0,5351.0,4909.0,5098.0
arpa_cdctc,2028,High-Priced Center-Based,1246100.0,16105.0,16678.0,15342.0,15889.0,13528.0,14801.0,12888.0,14100.0
arpa_cdctc,2028,Paid Home-Based,1016405.0,9741.0,11799.0,9280.0,11240.0,7942.0,9352.0,7566.0,8909.0
arpa_cdctc,2029,all_paid_formal,3978437.0,9844.0,11711.0,9169.0,10907.0,7252.0,9540.0,6754.0,8885.0
arpa_cdctc,2029,Low-Priced Center-Based,1723413.0,8329.0,7675.0,7757.0,7148.0,5359.0,5518.0,4992.0,5139.0
arpa_cdctc,2029,High-Priced Center-Based,1255720.0,16388.0,16824.0,15263.0,15669.0,13634.0,14910.0,12698.0,13887.0
arpa_cdctc,2029,Paid Home-Based,999304.0,10005.0,12248.0,9318.0,11407.0,8176.0,9727.0,7615.0,9060.0
arpa_cdctc,2030,all_paid_formal,3898665.0,10117.0,12072.0,9214.0,10994.0,7392.0,9872.0,6732.0,8991.0
arpa_cdctc,2030,Low-Priced Center-Based,1694520.0,8605.0,7899.0,7837.0,7194.0,5525.0,5706.0,5032.0,5196.0
arpa_cdctc,2030,High-Priced Center-Based,1203100.0,17065.0,17815.0,15542.0,16225.0,14773.0,15884.0,13455.0,14466.0
arpa_cdctc,2030,Paid Home-Based,1001045.0,10256.0,12233.0,9340.0,11141.0,8211.0,9701.0,7479.0,8835.0
arpa_cdctc,2031,all_paid_formal,3912157.0,10409.0,12390.0,9271.0,11035.0,7657.0,10171.0,6819.0,9059.0
arpa_cdctc,2031,Low-Priced Center-Based,1698678.0,8813.0,8139.0,7849.0,7249.0,5728.0,5907.0,5101.0,5261.0
arpa_cdctc,2031,High-Priced Center-Based,1221506.0,17353.0,17938.0,15455.0,15976.0,14700.0,16000.0,13092.0,14250.0
arpa_cdctc,2031,Paid Home-Based,991972.0,10525.0,12839.0,9373.0,11434.0,8555.0,10296.0,7619.0,9170.0
arpa_cdctc,2032,all_paid_formal,3851676.0,10715.0,12643.0,9333.0,11011.0,7990.0,10392.0,6959.0,9051.0
arpa_cdctc,2032,Low-Priced Center-Based,1664153.0,9108.0,8377.0,7933.0,7296.0,5954.0,6119.0,5185.0,5330.0
arpa_cdctc,2032,High-Priced Center-Based,1217217.0,17809.0,18305.0,15511.0,15943.0,15085.0,16331.0,13138.0,14224.0
arpa_cdctc,2032,Paid Home-Based,970305.0,10800.0,12856.0,9407.0,11197.0,8808.0,10271.0,7671.0,8946.0
arpa_cdctc,2033,all_paid_formal,3811347.0,10915.0,12922.0,9297.0,11006.0,8134.0,10642.0,6928.0,9064.0
arpa_cdctc,2033,Low-Priced Center-Based,1669734.0,9372.0,8590.0,7982.0,7317.0,6081.0,6299.0,5180.0,5365.0
arpa_cdctc,2033,High-Priced Center-Based,1172050.0,18251.0,18638.0,15545.0,15875.0,15350.0,16682.0,13074.0,14209.0
arpa_cdctc,2033,Paid Home-Based,969563.0,11084.0,13470.0,9441.0,11473.0,9184.0,10819.0,7822.0,9215.0
arpa_cdctc,2034,all_paid_formal,3767401.0,11235.0,13215.0,9358.0,11007.0,8392.0,10907.0,6990.0,9085.0
arpa_cdctc,2034,Low-Priced Center-Based,1634436.0,9647.0,8897.0,8036.0,7411.0,6430.0,6557.0,5356.0,5461.0
arpa_cdctc,2034,High-Priced Center-Based,1175760.0,18592.0,18864.0,15486.0,15713.0,15599.0,16863.0,12993.0,14046.0
arpa_cdctc,2034,Paid Home-Based,957205.0,11379.0,13648.0,9478.0,11368.0,9453.0,11021.0,7874.0,9180.0
arpa_cdctc,2035,all_paid_formal,3758916.0,11545.0,13577.0,9404.0,11060.0,8668.0,11258.0,7060.0,9170.0
arpa_cdctc,2035,Low-Priced Center-Based,1637743.0,9759.0,8988.0,7949.0,7321.0,6213.0,6649.0,5061.0,5416.0
arpa_cdctc,2035,High-Priced Center-Based,1189176.0,19210.0,19530.0,15648.0,15909.0,16319.0,17519.0,13293.0,14270.0
arpa_cdctc,2035,Paid Home-Based,931997.0,11683.0,14046.0,9516.0,11441.0,9706.0,11369.0,7906.0,9261.0
arpa_cdctc,2036,all_paid_formal,3697543.0,11891.0,13928.0,9472.0,11095.0,9088.0,11585.0,7239.0,9228.0
arpa_cdctc,2036,Low-Priced Center-Based,1617923.0,10230.0,9356.0,8149.0,7453.0,6877.0,7004.0,5478.0,5579.0
arpa_cdctc,2036,High-Priced Center-Based,1139868.0,19712.0,20152.0,15702.0,16052.0,16758.0,18118.0,13349.0,14432.0
arpa_cdctc,2036,Paid Home-Based,939752.0,11997.0,14252.0,9557.0,11353.0,9918.0,11547.0,7901.0,9198.0
arpa_cdctc,2037,all_paid_formal,3658366.0,12137.0,14202.0,9454.0,11063.0,9241.0,11851.0,7199.0,9232.0
arpa_cdctc,2037,Low-Priced Center-Based,1603576.0,10349.0,9545.0,8062.0,7436.0,6742.0,7177.0,5252.0,5591.0
arpa_cdctc,2037,High-Priced Center-Based,1141089.0,20098.0,20522.0,15656.0,15986.0,17220.0,18487.0,13414.0,14401.0
arpa_cdctc,2037,Paid Home-Based,913701.0,12219.0,14481.0,9518.0,11281.0,10149.0,11766.0,7906.0,9166.0
arpa_cdctc,2038,all_paid_formal,3637270.0,12540.0,14717.0,9553.0,11212.0,9644.0,12319.0,7347.0,9385.0
arpa_cdctc,2038,Low-Priced Center-Based,1589438.0,10683.0,9833.0,8138.0,7491.0,6927.0,7417.0,5277.0,5650.0
arpa_cdctc,2038,High-Priced Center-Based,1138980.0,20780.0,21262.0,15830.0,16197.0,17694.0,19163.0,13479.0,14598.0
arpa_cdctc,2038,Paid Home-Based,908853.0,12668.0,15058.0,9650.0,11471.0,10524.0,12316.0,8017.0,9382.0
arpa_cdctc,2039,all_paid_formal,3620558.0,12911.0,15039.0,9618.0,11203.0,9981.0,12604.0,7435.0,9389.0
arpa_cdctc,2039,Low-Priced Center-Based,1570141.0,11159.0,10238.0,8313.0,7627.0,7562.0,7743.0,5633.0,5768.0
arpa_cdctc,2039,High-Priced Center-Based,1125709.0,21187.0,21643.0,15783.0,16123.0,18259.0,19584.0,13602.0,14589.0
arpa_cdctc,2039,Paid Home-Based,924707.0,13017.0,15151.0,9697.0,11287.0,10661.0,12360.0,7942.0,9208.0
arpa_cdctc,2040,all_paid_formal,3577238.0,13348.0,15442.0,9724.0,11250.0,10412.0,12991.0,7585.0,9464.0
arpa_cdctc,2040,Low-Priced Center-Based,1544165.0,11298.0,10451.0,8230.0,7614.0,7675.0,7965.0,5591.0,5803.0
arpa_cdctc,2040,High-Priced Center-Based,1114419.0,21910.0,22201.0,15962.0,16173.0,18857.0,20096.0,13737.0,14640.0
arpa_cdctc,2040,Paid Home-Based,918654.0,13378.0,15633.0,9746.0,11389.0,11114.0,12818.0,8097.0,9338.0
arpa_cdctc,2041,all_paid_formal,3595032.0,13350.0,15656.0,9511.0,11153.0,10638.0,13187.0,7579.0,9395.0
arpa_cdctc,2041,Low-Priced Center-Based,1581188.0,11392.0,10608.0,8116.0,7557.0,7659.0,8106.0,5456.0,5775.0
arpa_cdctc,2041,High-Priced Center-Based,1113521.0,22344.0,22496.0,15917.0,16026.0,19226.0,20382.0,13697.0,14520.0
arpa_cdctc,2041,Paid Home-Based,900323.0,13537.0,16060.0,9644.0,11441.0,11320.0,13213.0,8064.0,9413.0
arpa_cdctc,2042,all_paid_formal,3528533.0,13766.0,16028.0,9590.0,11166.0,11020.0,13534.0,7677.0,9428.0
arpa_cdctc,2042,Low-Priced Center-Based,1544017.0,11952.0,11036.0,8326.0,7688.0,8196.0,8476.0,5710.0,5905.0
