year,lfpr_m_16plus,lfpr_m_16_17,lfpr_m_18_19,lfpr_m_20_24,lfpr_m_25_29,lfpr_m_30_34,lfpr_m_35_39,lfpr_m_40_44,lfpr_m_45_49,lfpr_m_50_54,lfpr_m_55_59,lfpr_m_60_61,lfpr_m_62_64,lfpr_m_65_69,lfpr_m_70_79,lfpr_m_80_89,lfpr_f_16plus,lfpr_f_16_17,lfpr_f_18_19,lfpr_f_20_24,lfpr_f_25_29,lfpr_f_30_34,lfpr_f_35_39,lfpr_f_40_44,lfpr_f_45_49,lfpr_f_50_54,lfpr_f_55_59,lfpr_f_60_61,lfpr_f_62_64,lfpr_f_65_69,lfpr_f_70_79,lfpr_f_80_89
2026,67.869,20.431,57.134,72.12,85.842,89.81,90.597,89.449,88.714,87.195,80.577,70.612,59.624,40.716,19.393,8.413,57.076,27.501,50.162,66.808,77.078,76.397,76.605,77.931,78.616,77.103,70.375,60.648,49.745,31.265,12.968,4.198
2027,67.752,20.533,57.572,72.134,85.948,89.908,90.577,89.497,88.839,87.397,80.868,71.019,59.899,41.017,19.144,8.331,57.047,27.594,50.562,66.778,77.253,76.827,76.91,78.278,78.89,77.423,70.604,61.278,50.059,31.461,12.903,4.173
2028,67.647,20.593,57.991,72.084,86.077,90.035,90.608,89.597,88.955,87.577,81.054,71.374,60.12,41.221,18.965,8.29,57.037,27.657,50.931,66.78,77.417,77.222,77.226,78.613,79.181,77.808,70.798,61.817,50.332,31.638,12.86,4.213
2029,67.537,20.6,58.346,72.01,86.182,90.152,90.677,89.727,89.045,87.687,81.146,71.618,60.292,41.284,18.836,8.289,57.022,27.676,51.2,66.869,77.558,77.52,77.503,78.884,79.452,78.175,70.985,62.207,50.57,31.762,12.826,4.305
2030,67.415,20.577,58.699,71.98,86.226,90.207,90.724,89.826,89.11,87.73,81.229,71.783,60.506,41.29,18.716,8.284,57.004,27.667,51.421,67.042,77.711,77.747,77.734,79.104,79.694,78.466,71.207,62.555,50.843,31.848,12.796,4.394
2031,67.299,20.567,59.029,72.01,86.245,90.222,90.762,89.897,89.177,87.757,81.344,71.854,60.77,41.29,18.62,8.244,56.985,27.659,51.613,67.249,77.895,77.935,77.93,79.296,79.905,78.683,71.448,62.819,51.158,31.893,12.78,4.451
2032,67.195,20.586,59.295,72.027,86.264,90.23,90.799,89.949,89.238,87.795,81.447,71.856,60.985,41.303,18.554,8.188,56.958,27.665,51.763,67.406,78.094,78.093,78.086,79.453,80.078,78.854,71.672,62.928,51.429,31.929,12.772,4.47
2033,67.103,20.621,59.511,71.979,86.28,90.223,90.821,89.968,89.282,87.822,81.496,71.864,61.063,41.376,18.506,8.122,56.93,27.675,51.884,67.476,78.29,78.232,78.212,79.559,80.21,79.001,71.848,62.949,51.586,32.017,12.768,4.479
2034,67.024,20.635,59.697,71.884,86.298,90.207,90.822,89.955,89.305,87.836,81.507,71.914,61.002,41.542,18.463,8.079,56.912,27.67,52.002,67.491,78.481,78.363,78.332,79.63,80.314,79.123,71.97,63.037,51.578,32.219,12.765,4.475
2035,66.959,20.616,59.827,71.797,86.318,90.193,90.803,89.944,89.313,87.865,81.516,71.95,60.928,41.773,18.416,8.046,56.907,27.651,52.096,67.488,78.649,78.495,78.432,79.707,80.4,79.248,72.072,63.187,51.518,32.516,12.758,4.483
